Day,Month,Year,Value_Normalized,BlockHeight_Normalized,From_Encoded,To_Encoded
4,6,2018,0.0,0.5950577800486506,2946,607
1,3,2018,0.00011384615384615385,0.4852120170478925,3267,969
16,10,2017,0.0,0.326071593397402,453,1775
17,9,2017,0.0,0.3085536855567872,1063,2859
26,3,2018,2.3076923076923078e-07,0.5148654949437267,4668,1438
9,11,2017,7.675384615384616e-05,0.3551615274766169,1125,135
10,6,2018,7.692307692307692e-08,0.601968804587128,4530,2613
20,3,2018,0.0,0.5073891469765776,2970,1823
15,3,2018,7.692307692307692e-08,0.5014143961123781,2532,3056
24,9,2018,7.692307692307692e-08,0.7256399781542734,4231,423
26,3,2018,7.692307692307693e-05,0.5140642740507647,4118,669
20,3,2018,0.0,0.5074696249882843,3185,1823
20,3,2018,0.0,0.5073758987535201,1888,1823
16,2,2018,3.4018776923076924e-05,0.4705432681033014,1106,62
8,12,2017,1.9230769230769234e-06,0.39082851223246007,3703,1151
25,4,2018,0.00010429339607692308,0.5500207423671449,2387,1835
4,11,2017,0.0,0.3487511671289044,1009,1775
7,3,2018,6.848630769230769e-07,0.49255588278446794,409,184
8,9,2018,3.846153846153846e-05,0.706024105438455,1100,1991
8,3,2018,8.994687692307692e-06,0.4932902693581255,1448,403
6,2,2019,0.0,0.8820259578168669,5336,2833
4,6,2018,3.4615384615384616e-07,0.594578668937188,5816,2468
5,6,2018,1.1740507692307693e-07,0.595662650411822,4586,503
10,4,2019,2.375e-07,0.9523989368202129,4503,2507
25,5,2018,0.0,0.5840520659120848,2930,543
28,4,2018,3.8461538461538463e-07,0.5528010895971393,1066,998
27,1,2018,7.692307692307693e-05,0.44689914463935365,1296,2488
28,9,2018,0.0,0.730656309060875,4577,2688
13,2,2018,0.00045886790384615386,0.46687944235658596,5095,2626
14,7,2017,0.0008745878461538462,0.2570934347738567,3606,117
31,7,2018,0.0,0.6607790508814814,3033,543
29,3,2018,3.8461538461538463e-07,0.5180312270504196,4832,1438
4,1,2018,3.8461538461538463e-07,0.42149340297812143,5932,1159
7,1,2018,3.521019384615385e-05,0.4248102043746028,3519,2173
29,7,2018,7.415576923076923e-05,0.6586031785453134,1448,1337
23,7,2017,7.615384615384616e-05,0.264954969883032,2906,1680
18,8,2018,3.553299615384615e-06,0.681567490205213,4253,2951
5,12,2017,1.7692307692307694e-05,0.38678562911856607,5870,2644
27,9,2018,1.1846153846153846e-06,0.7286059982417433,4231,1727
5,1,2018,6.82889076923077e-07,0.42224380606025136,5378,994
24,4,2018,0.0,0.5489456589527734,2411,3045
20,8,2018,6.923076923076923e-08,0.6838339250213851,2911,2421
22,9,2018,0.0,0.7231425892406237,3867,2286
12,1,2018,0.0,0.42968555045971335,2151,2401
16,7,2018,1.3076923076923078e-05,0.6430934640385882,5935,2857
25,9,2018,6.6e-10,0.7265210838549244,3835,2184
9,1,2018,0.00046562038,0.42623784871003834,2931,3195
24,4,2018,0.0,0.5491756243768885,3806,543
2,4,2018,0.0,0.5231978363081197,2786,2927
9,4,2019,7.692307692307694e-06,0.9516062185181685,474,2451
31,3,2018,0.0,0.5206403360540305,5039,2927
15,11,2017,5.892551538461538e-06,0.3632194131155826,5520,2559
23,3,2019,9.424996923076924e-07,0.9294190041211859,4503,2646
16,7,2018,4.784615384615385e-05,0.6428474821060007,2644,2207
21,10,2018,6.153846153846154e-08,0.7574742717530879,2038,839
22,12,2017,1.5045384615384616e-06,0.40601374414161595,2676,1819
17,5,2018,3.846153846153846e-05,0.574864126619793,1568,2774
22,10,2017,0.0,0.33329345684104617,1790,2437
23,12,2017,8.456519923076924e-05,0.4074083667867443,3619,3182
23,2,2018,3.0769230769230774e-05,0.47864307349283675,5643,1371
27,3,2018,7.692307692307693e-05,0.5161011389121667,2155,3079
18,10,2018,9.192307692307692e-05,0.7540052146587831,2864,2722
25,10,2017,0.0,0.3373365376896127,617,1775
3,3,2018,7.870196076923077e-05,0.4880504982716013,2015,1812
16,9,2017,7.692307692307693e-07,0.3081647414559836,1063,2515
22,10,2017,0.0,0.3332804063526613,1790,1775
10,3,2019,0.0,0.9128533864633216,221,480
18,8,2018,5.510493846153846e-07,0.6816695212962219,4133,2951
26,4,2018,4.774146923076923e-06,0.5504919440917077,1881,601
18,8,2018,4.526161461538462e-05,0.6810049350619561,2015,2492
5,2,2019,2.1550615384615385e-05,0.8807410779149748,2055,2767
22,9,2017,0.0,0.31249869000779473,2273,1775
9,9,2018,0.0,0.7079039689698933,1582,344
20,3,2018,0.0,0.5073614641224279,213,1823
21,3,2019,9.235384615384615e-07,0.9277265930592756,4503,1938
24,1,2018,5.827292307692307e-07,0.4432962211717677,5357,754
20,3,2019,0.0,0.9261548001475891,1971,1895
11,8,2018,7.692307692307692e-08,0.6728394817611515,5010,2421
25,1,2019,0.0,0.8704434516406244,5336,2175
21,9,2018,7.692307692307694e-06,0.7222814547418949,5474,511
15,3,2018,1.9153846153846152e-08,0.5021887250898803,4531,2354
17,2,2018,5.384615384615385e-05,0.4718360573920931,2340,678
22,1,2018,1.227496153846154e-05,0.4406032726670176,530,1545
2,3,2018,2.6561076923076925e-07,0.4862819593607791,2669,2423
13,3,2018,4.769230769230769e-06,0.49955292190548206,2428,1662
25,4,2018,3.846153846153846e-05,0.5500074941440877,5479,570
10,6,2018,9.175781538461539e-05,0.6016510449684237,4365,2169
23,3,2018,3.0428196153846157e-05,0.5104506729108639,4977,891
31,3,2018,0.005396350434615385,0.5204965829471245,3066,1981
12,1,2018,7.692307692307693e-05,0.42950284362232516,5852,2713
10,5,2018,0.0,0.5664898655048304,5103,2727
14,4,2019,1.3808283076923078e-05,0.9580187539472783,145,8
17,4,2018,0.0001974219823076923,0.5408203457904858,5852,1373
13,2,2018,5.334265384615385e-07,0.46678472744845945,5614,1302
23,1,2018,1.5384615384615387e-05,0.4418335777993001,3774,1873
21,2,2018,2.376614923076923e-05,0.4757515993768985,1892,1371
3,10,2018,3.235096538461538e-05,0.736468917493626,1745,3053
25,6,2018,3.923076923076923e-05,0.6182783558441075,1380,2203
2,3,2018,0.00012040879307692308,0.48597883210783965,2234,250
24,6,2018,2.861538461538462e-09,0.6179451729209485,838,1035
23,12,2017,0.0,0.40767708820666915,2509,1749
21,2,2018,6.902307692307692e-05,0.47551629511662596,3143,1371
30,12,2018,0.0,0.8417638170068428,4291,2295
22,1,2018,1.4575e-05,0.4407808384029207,1106,62
9,5,2018,3.9488703076923075e-05,0.5655359934447001,2015,781
5,7,2018,0.0,0.6302217277976588,2554,543
13,12,2017,7.692307692307693e-05,0.39584108618028413,2702,2489
1,4,2018,0.0,0.5212950355546714,691,2927
3,10,2018,3.846153846153846e-08,0.735671255824769,1003,2421
15,4,2019,3.2692307692307696e-06,0.9593386328862025,4503,1388
29,5,2018,2.3846153846153846e-05,0.5882568937227547,4080,1772
30,7,2018,0.0,0.6596871600199475,1582,1203
9,8,2018,7.692307692307694e-06,0.6709333195182708,3043,300
20,3,2018,0.0,0.5073638369384977,1910,1823
17,10,2018,0.0,0.7535039572640007,709,377
4,10,2017,0.0,0.3192809892744759,4460,1775
20,3,2018,0.0,0.5073545434088903,1345,1823
20,3,2018,0.0,0.5073671984279303,2009,1823
29,4,2018,0.0,0.5549196188782829,829,1898
22,1,2018,2.9923076923076925e-05,0.44092617338720674,2593,1821
12,5,2018,0.00022683216061538463,0.5690871104280916,772,1347
10,11,2018,0.0023075937692307695,0.7818933173985553,4418,1468
13,3,2018,0.00018261415461538462,0.4993891975966537,168,803
28,4,2018,1.539557746153846e-05,0.5531971521461528,98,822
16,1,2019,0.0058288853438461545,0.8608547041671791,3212,165
22,4,2018,3.0769230769230774e-05,0.5464488632431413,131,2050
31,10,2018,9.9595e-07,0.7701575668511268,5022,1096
21,7,2018,4.846153846153846e-05,0.6488335038465326,185,801
5,10,2018,5.029638000000001e-05,0.7380602861378899,4696,1473
