AssetID,UserID,Asset Name,Category,Description,Interaction type,User rating,Price
A1000,U27,RzQAncYp,Stock,Rare Piece,Share,2,2232.78
A1001,U35,QxVOOC5f,Artwork,Popular Investment,Like,1,3933.26
A1002,U46,6hkPPvNu,Artwork,Popular Song,View,3,536.85
A1003,U50,q6zLG4aX,Stock,Innovative Song,Purchase,4,4996.07
A1004,U3,FGgVHmsV,Artwork,Rare Song,Share,3,4616.01
A1005,U30,7aLOXtOr,Artwork,Innovative Investment,View,2,2280.46
A1006,U39,w8vERtor,Artwork,Rare Art,Like,4,1066.18
A1007,U7,vokJMTIj,Artwork,Amazing Track,Share,2,3983.96
A1008,U47,ydQoGAvh,Stock,Popular Song,Share,4,3010.94
A1009,U17,YWN1SY1j,Artwork,Popular Collection,Share,5,4701.38
A1010,U47,WIeHLCwk,NFT,Creative Art,Like,1,53.72
A1011,U6,GN9TpaWW,Stock,Popular Collection,Purchase,1,2362.11
A1012,U47,HWKGBPbs,NFT,Innovative Song,View,1,895.24
A1013,U6,XASvfSZ3,Stock,Amazing Piece,Share,3,1524.93
A1014,U24,qR43owdw,NFT,Rare Art,View,1,4904.3
A1015,U42,xoXAjP8s,NFT,Innovative Investment,Like,2,2240.65
A1016,U50,9LYE1fbV,NFT,Rare Track,Purchase,5,3808.02
A1017,U21,enHCCJZJ,NFT,Rare Piece,Share,1,1878.26
A1018,U5,pnHSDxy7,Stock,Unique Song,Share,2,1641.23
A1019,U13,4qWnyYy0,Stock,Unique Investment,Purchase,3,4839.83
A1020,U12,tLPCBXIA,Stock,Rare Collection,Like,1,1379.48
A1021,U43,21YZZCTg,NFT,Unique Piece,Share,2,4689.21
A1022,U10,EiZLAnKe,NFT,Popular Piece,Share,5,4911.74
A1023,U46,IPPVgtK6,Artwork,Rare Art,Share,1,622.36
A1024,U42,BYBo0v5N,Stock,Popular Art,Like,4,2019.26
A1025,U22,RWx71epA,NFT,Creative Track,Share,1,1573.67
A1026,U24,2Zccfz0L,Music,Unique Investment,Like,5,2965.83
A1027,U16,LmyfdpAu,Artwork,Unique Art,Purchase,3,143.59
A1028,U31,KWA1IqqQ,Music,Innovative Art,Like,4,2278.92
A1029,U27,K6jOFo40,Music,Rare Collection,Purchase,2,2399.66
A1030,U30,45ND4daK,Stock,Popular Track,Like,3,2497.79
A1031,U47,hRaDJxgj,Stock,Amazing Collection,Share,4,2270.04
A1032,U43,aQNBm67C,Stock,Rare Track,Like,3,2832.7
A1033,U35,GkKe8cgm,NFT,Creative Collection,Purchase,1,3532.75
A1034,U46,zLeeV8Jn,NFT,Rare Song,Purchase,3,2881.98
A1035,U38,azer8bVC,Music,Creative Song,Like,2,1827.72
A1036,U34,6FJBRe9r,Stock,Innovative Investment,Like,4,974.27
A1037,U30,wYV9RSQT,Music,Innovative Art,Share,3,4676.57
A1038,U2,U9eH2sDr,Stock,Popular Investment,Like,5,4746.03
A1039,U7,KYkvFm8K,NFT,Unique Track,Share,3,2141.0
A1040,U27,SknoLSyj,Music,Creative Track,Like,3,703.46
A1041,U35,9Az67Jri,NFT,Popular Track,Like,2,3318.59
A1042,U10,Bd7MDYLq,Artwork,Amazing Track,View,1,3354.59
